产品名称,commodityKey,期望单位,优先级,备注
使它隆,cj:price:使它隆,元/吨,高,农化产品
毒莠定,cj:price:毒莠定,元/吨,高,农化产品
烯草酮,cj:price:烯草酮,元/吨,高,农化产品
杀菌剂,cj:price:杀菌剂,元/吨,高,农化产品
功夫菊酯,cj:price:功夫菊酯,元/吨,高,农化产品
草甘膦,cj:price:草甘膦,元/吨,高,农化产品（已有价格，需确认）
阿维菌素,cj:price:阿维菌素,元/吨,高,农化产品
吡虫啉,cj:price:吡虫啉,元/吨,高,农化产品
吡蚜酮,cj:price:吡蚜酮,元/吨,高,农化产品
丁醚脲,cj:price:丁醚脲,元/吨,高,农化产品
环嗪酮,cj:price:环嗪酮,元/吨,高,农化产品
萎锈灵,cj:price:萎锈灵,元/吨,高,农化产品
甲维盐,cj:price:甲维盐,元/吨,高,农化产品
代森锰锌,cj:price:代森锰锌,元/吨,高,农化产品
嘧菌酯,cj:price:嘧菌酯,元/吨,高,农化产品
多杀霉素,cj:price:多杀霉素,元/吨,高,农化产品
醚菊酯,cj:price:醚菊酯,元/吨,高,农化产品
茚虫威,cj:price:茚虫威,元/吨,高,农化产品
除虫菊素,cj:price:除虫菊素,元/吨,高,农化产品
棉隆,cj:price:棉隆,元/吨,高,农化产品
AES,cj:price:AES,元/吨,中,表面活性剂
K12,cj:price:K12,元/吨,中,表面活性剂
磺酸,cj:price:磺酸,元/吨,中,表面活性剂
硬脂酸,cj:price:硬脂酸,元/吨,中,脂肪酸
甘油,cj:price:甘油,元/吨,中,基础化工
AEO-9,cj:price:AEO-9,元/吨,中,表面活性剂
聚乙二醇,cj:price:聚乙二醇,元/吨,中,精细化工
丙二醇,cj:price:丙二醇,元/吨,中,精细化工
二乙二醇,cj:price:二乙二醇,元/吨,中,精细化工
异丙醇,cj:price:异丙醇,元/吨,中,有机溶剂
二甲基甲酰胺,cj:price:二甲基甲酰胺,元/吨,中,有机溶剂
乙腈,cj:price:乙腈,元/吨,中,有机溶剂
氯乙酸,cj:price:氯乙酸,元/吨,中,有机化工
乙醇胺,cj:price:乙醇胺,元/吨,中,有机化工
丙烯酰胺,cj:price:丙烯酰胺,元/吨,中,有机化工
超纯双氧水,xyzq:price:超纯双氧水,元/吨,中,电子化学品
超纯氨水,xyzq:price:超纯氨水,元/吨,中,电子化学品
超纯氢氟酸,xyzq:price:超纯氢氟酸,元/吨,中,电子化学品
超纯硫酸,xyzq:price:超纯硫酸,元/吨,中,电子化学品
超纯盐酸,xyzq:price:超纯盐酸,元/吨,中,电子化学品
NMP,xyzq:price:NMP,元/吨,中,电子化学品
电子级碳酸二甲酯,xyzq:price:电子级碳酸二甲酯,元/吨,中,电子化学品
甲基丙烯酸甲酯,xyzq:price:甲基丙烯酸甲酯,元/吨,中,电子化学品
N-甲基吡咯烷酮,xyzq:price:N-甲基吡咯烷酮,元/吨,中,电子化学品
乙二醇甲醚,xyzq:price:乙二醇甲醚,元/吨,中,电子化学品
钴,lme:price:钴,元/吨,高,金属
铌,lme:price:铌,元/吨,高,金属
钽,lme:price:钽,元/吨,高,金属
铑,lme:price:铑,元/盎司,高,金属
铂,lme:price:铂,元/盎司,高,金属
钯,lme:price:钯,元/盎司,高,金属
铁矿石,lme:price:铁矿石,元/吨,高,黑色金属
氧化铝,lme:price:氧化铝,元/吨,高,有色金属
钨精矿,xyzq:price:钨精矿,元/吨,中,有色金属
碳酸锂(工业级),xyzq:price:碳酸锂(工业级),元/吨,高,新能源材料
碳酸锂(电池级),xyzq:price:碳酸锂(电池级),元/吨,高,新能源材料
磷酸铁,xyzq:price:磷酸铁,元/吨,高,新能源材料
磷酸铁锂(动力型),xyzq:price:磷酸铁锂(动力型),元/吨,高,新能源材料
工业磷酸一铵,xyzq:price:工业磷酸一铵,元/吨,中,磷化工
硅片,xyzq:price:硅片,元/片,中,光伏材料
金刚线,xyzq:price:金刚线,元/吨,中,光伏材料
电子级玻纤纱,xyzq:price:电子级玻纤纱,元/吨,中,玻纤材料
玻璃纤维,xyzq:price:玻璃纤维,元/吨,中,玻纤材料
高纯石英砂,xyzq:price:高纯石英砂,元/吨,中,光伏材料
阿斯巴甜,cj:price:阿斯巴甜,万元/吨,中,甜味剂
纽甜,cj:price:纽甜,万元/吨,中,甜味剂
三氯蔗糖,cj:price:三氯蔗糖,万元/吨,中,甜味剂
赤藓糖醇,cj:price:赤藓糖醇,万元/吨,中,甜味剂
异麦芽酮糖醇,cj:price:异麦芽酮糖醇,万元/吨,中,甜味剂
聚合MDI,xyzq:price:聚合MDI,元/吨,中,聚氨酯
PP(聚丙烯),xyzq:price:PP(聚丙烯),元/吨,中,通用塑料
PC(聚碳酸酯),xyzq:price:PC(聚碳酸酯),元/吨,中,工程塑料
ABS,xyzq:price:ABS,元/吨,中,工程塑料
LLDPE,xyzq:price:LLDPE,元/吨,中,通用塑料
反渗透膜,xyzq:price:反渗透膜,元/平方米,中,膜材料
超滤膜,xyzq:price:超滤膜,元/平方米,中,膜材料
MBR膜,xyzq:price:MBR膜,元/平方米,中,膜材料
中空纤维膜,xyzq:price:中空纤维膜,元/平方米,中,膜材料
碳纤维,xyzq:price:碳纤维,元/吨,中,新材料
超纯异丙醇,xyzq:price:超纯异丙醇,元/吨,中,电子化学品
